Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
commission golf short,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,2959,"$55,340.50",
petrol purple,N,sku_colorGroup/sku_colorCodeDesc,,3369,"$20,415.15",
full zip,N,sku_size/product_customAttribute4,,4174,"$47,112.15",
pace breaker lined,N,sku_colorCodeDesc/collections,,5496,"$142,001.46",
lululemon align,N,sku_colorCodeDesc/collections/parentCategory_displayName,,4381,"$79,412.25",
sport bras,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2721,"$9,859.55",
bowline short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,3113,"$38,772.45",
hotty hot shorts 25,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,3756,"$38,800.35",
align racerback,N,collections/product_customAttribute4,,3309,"$19,031.40",
long sleeve swiftly tech,N,product_topsLength_s/collections/parentCategory_displayName,,4620,"$54,697.25",
align leggings 25,Y,product_inseam/collections/sku_size/parentCategory_displayName,PatternReplaceFilter,5284,"$128,200.30",
metal vent tech shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,4098,"$89,023.00",
short sleeve shirt,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2910,"$16,365.65",
running shirt,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,2724,"$22,050.45",run shirt/run shirts
swift long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,3638,"$40,378.90",
lululemon align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,3677,"$38,006.30",lululemon align tank tops
poolside leggings,N,sku_colorCodeDesc/parentCategory_displayName,,1870,"$3,463.80",
align too,N,collections/parentCategory_displayName,,2359,"$5,083.65",
cross chill,N,sku_colorCodeDesc/product_customAttribute4,,4540,"$120,462.40",
tennis shirt,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,2535,"$25,432.15",
base pace shorts,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,2090,"$6,193.64",
dance studio cropped,N,product_topsLength_s/collections/product_activity,,2793,"$26,986.05",
built in bra,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2200,"$13,572.70",
swiftly tech racerback tank,N,collections/product_customAttribute4/parentCategory_displayName,,2636,"$31,854.65",
swiftly tech cropped,N,product_topsLength_s/collections,,8189,"$148,197.75",swiftly tech crop
surge short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,3089,"$31,652.00",
hold tight shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,4738,"$70,693.40",
swiftly tech long,N,product_topsLength_s/collections/parentCategory_displayName,,5288,"$120,936.54",
"bowline short 8""",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,2611,"$38,447.60",bowline short 8
fast and free hat,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2444,"$16,057.85",fast and free hats
lululemon belt bag,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2814,"$18,079.90",lululemon belt bags
speed up high,N,collections/product_customAttribute4,,2745,"$33,025.10",
wunder train 28,Y,product_inseam/product_customAttribute4/product_activity/collections/sku_size,PorterStemFilter/PatternReplaceFilter,2810,"$42,537.80",
base pace 25,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,2058,"$13,838.49",
made to much,N,collections/parentCategory_displayName,,1433,"$4,534.55",
define dress,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,2501,"$21,529.30",
align racerback tank,N,collections/product_customAttribute4/parentCategory_displayName,,1946,"$10,013.45",
bra top,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1774,"$7,728.35",
cropped joggers,N,product_topsLength_s/parentCategory_displayName,,2351,"$33,075.45",crop jogger
oversized crew,N,collections/product_customAttribute4,,2218,"$23,236.35",
crop jacket,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,2112,"$28,903.35",
neon yellow,N,sku_colorGroup/sku_colorCodeDesc,,1640,"$7,809.38",
sonic pink scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,2997,"$17,647.30",lip gloss scuba
wunder under luxtreme,N,sku_colorCodeDesc/collections,,1476,"$2,583.75",
kelly green shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,1754,"$8,691.45",kelly green short
like a cloud dd,N,collections/sku_size,,1722,"$10,413.90",
free to be wild bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2445,"$13,909.65",free to be wild bras
swiftly tech tank top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1835,"$7,018.60",
commission shirt,Y,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2036,"$32,370.55",
cross chill jacket,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,3977,"$153,797.55",
grey swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,1890,"$4,410.90",
love shirt,Y,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2122,"$24,396.40",
license to train shirt,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,9767,"$209,359.60",license to train shirt
swift tech long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,2654,"$37,061.37",
train to be short,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,1473,"$17,497.33",
lululemon align shorts,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,1663,"$12,253.70",lululemon align short
fast and free jacket,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1740,"$26,423.85",fast and free jackets
hair tie,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,1991,"$4,576.80",
mini belt,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4,,2142,"$15,854.55",
fast and free 25,N,sku_size/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,1810,"$22,248.30","fast and free 25"""
wunder 25,Y,collections/sku_size/product_inseam,PatternReplaceFilter,1347,"$9,887.35",
black swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,1946,"$8,952.70",
wunder under shorts,N,collections/product_customAttribute4/parentCategory_displayName,,1579,"$8,944.61",wunder under short
lulu shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,1443,"$5,164.40",lulu short
lined shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,1869,"$18,754.75",lined short
red shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1556,"$5,509.30",
short sleeve swiftly tech,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,1540,"$11,175.55",
mini bags,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,1299,"$6,293.70",
drysense short sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,1556,"$26,788.10",license to train short sleeve shirt
speed short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,1385,"$11,724.30",
poolside align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,1444,"$1,885.90",
we made too much shorts,N,product_customAttribute4/parentCategory_displayName,,1017,"$2,358.20",we made too much short
men shirt,Y,parentCategory_displayName/product_customAttribute4/gender,EnglishMinimalStemFilter,1474,"$17,110.20",
the mat,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,EnglishMinimalStemFilter,1690,"$30,932.90",
lululemon align bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1231,"$7,951.10",
poolside blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,980,"$1,990.10",
pocket leggings,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,1325,"$17,404.90",pocket tights
abc classic pants,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,2258,"$44,871.65",commission classic pants/abc classic pant/commission classic pant
sweat shirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,2891,"$25,302.15",sweat shirts
lulu align,N,sku_colorCodeDesc/collections,,1951,"$32,095.55",
cropped leggings,N,product_topsLength_s/parentCategory_displayName,,1115,"$14,180.10",cropped tights
surge warm,N,sku_colorCodeDesc/collections,,1585,"$21,687.50",
cropped crew,N,product_topsLength_s/product_customAttribute4,,1636,"$17,299.40",
scuba full,N,collections/sku_size,,2192,"$45,581.98",
luxtreme leggings,N,sku_colorCodeDesc/parentCategory_displayName,,894,"$6,023.10",luxtreme tights
align high,N,collections/product_customAttribute4,,2415,"$74,368.45",
pace breaker 5,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,1464,"$14,779.90",
lululemon fundamental t-shirt,N,sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,1380,"$21,041.75",
cropped swiftly tech,N,product_topsLength_s/collections,,1765,"$10,619.45",crop swiftly tech
swiftly tech short sleeve shirt,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,1594,"$31,885.95",swiftly tech short sleeve shirts/swiftly tech short sleeve top
