Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
"pocket shorts 6""",N,sku_colorCodeDesc/product_inseam/product_customAttribute4/parentCategory_displayName,,25,$0.00,
cropped d,N,product_topsLength_s/sku_size,,32,$118.00,
red leg,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,31,$0.00,
trail shirt,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,29,$240.00,
rulu long sleeve shirt,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,35,$627.50,
run hotty hot,Y,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,26,$117.00,
scuba blue linen,N,sku_colorGroup/sku_colorCodeDesc/collections,,33,$444.00,
size 0 tops,N,product_customAttribute4/sku_size/parentCategory_displayName,,35,$213.00,
size 2 bra,N,product_customAttribute4/product_inseam/sku_size/parentCategory_displayName,EnglishMinimalStemFilter/PatternReplaceFilter,12,$116.00,
align pistachio,N,sku_colorCodeDesc/collections,,22,$58.00,
sonic pink align tank top,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,29,$0.00,
sunny coral define,N,sku_colorCodeDesc/collections,,29,$226.65,
swiftly racerback top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,19,$0.00,
swiftly tank short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,13,$136.00,
swiftly tech crew,N,collections/product_customAttribute4,,28,$0.00,
jacket bag,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$0.00,
white dress shirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/EnglishMinimalStemFilter/PorterStemFilter,25,$442.50,
white running shirt,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,30,$282.40,
women 5 shorts,Y,product_inseam/product_customAttribute4/gender/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,43,$525.00,women 5 shorts
wunder train le,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,35,$171.50,
belt bag light pink,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,44,$295.50,
bike short pocket,N,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,59,$369.00,bike shorts pocket
black and white tank,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,27,$170.95,
black camo hotty,N,sku_colorGroup/sku_colorCodeDesc/collections,,21,$0.00,
black lulu shirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,43,$68.00,black lulu top
black lululemon align leggings,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,19,$314.00,
blue linen leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,44,$334.00,
blue shirt women,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,22,$166.00,
bright pink shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,31,$0.00,
camo leggings size 0,N,sku_colorCodeDesc/sku_size/parentCategory_displayName,,21,$98.00,
cloud bra long line,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,25,$228.80,
commission classic 7,N,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,21,$547.00,
dark blue tank top,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$58.00,
dark olive tank,N,sku_colorGroup/sku_colorCodeDesc/sku_colorGroup_fr/parentCategory_displayName,,25,$0.00,
define jacket pink peony,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,33,$0.00,
define jacket size 2,N,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,22,$472.00,
fast and free men,N,collections/product_customAttribute4/gender,,34,$38.00,
like a cloud long line bra,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,PorterStemFilter/EnglishMinimalStemFilter,350,"$6,672.60",like a cloud long line bra
flush pink hotty,N,sku_colorGroup/sku_colorCodeDesc/collections,,27,$0.00,
hot pink yoga pants,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,,18,$0.00,
hotty hot high tide,N,sku_colorCodeDesc/collections/product_customAttribute4,,16,$107.00,
hotty short 2.5,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter/PatternReplaceFilter,26,$408.00,
kelly green wunder train,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/sku_colorGroup,PorterStemFilter,28,$206.50,
leggings size 20,N,sku_size/parentCategory_displayName,,21,$235.00,
free to be wild sports bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,152,"$1,696.60",
linen pants women,N,sku_colorCodeDesc/gender/product_customAttribute4/parentCategory_displayName,,24,$0.00,
long define jacket,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,30,$392.00,
long sleeve polo men,N,product_topsLength_s/gender/parentCategory_displayName,,34,"$1,055.00",
lulu align 23,N,sku_colorCodeDesc/collections/product_inseam,PatternReplaceFilter,31,$803.60,
lulu lemon bra,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$98.00,
lulu lemon shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,49,$233.00,lulu lemon top/lulu lemon shirts
lulu lemon tank,N,sku_colorCodeDesc/parentCategory_displayName,,25,$177.65,
lulu speed up,N,sku_colorCodeDesc/collections/product_customAttribute4,,29,$261.80,
lululemon fundamental oversized t-shirt,N,sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,38,$311.30,
lululemon fundamental oversized t-shirt pocket,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,39,$988.00,
men long pants,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName/gender,,21,$256.00,
lululemon high,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,46,"$1,328.10",
black blazer,N,sku_colorGroup/sku_colorCodeDesc,,43,"$1,638.45",
moonlit magenta shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,25,$0.00,
polo logo,N,sku_colorCodeDesc/parentCategory_displayName,,36,$602.90,
cropped soft,N,product_topsLength_s/sku_colorCodeDesc/collections,,35,$336.30,
light cargo,N,sku_colorCodeDesc/product_customAttribute4,,35,$781.65,
thermal pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,34,$355.00,
align ultra,N,sku_colorCodeDesc/collections,,33,$392.00,
crew shirt,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,33,$219.90,
pistachio sports bra,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,25,$169.00,
warm up,N,sku_colorCodeDesc/collections/product_customAttribute4,,33,$158.80,
powder blue bottoms,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4,,7,$176.00,
stripe crew,N,sku_colorCodeDesc/product_customAttribute4,,32,$0.00,
puffer belt bag,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,62,$877.00,
yellow joggers,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,31,$458.30,
ready to rulu classic,N,sku_colorCodeDesc/collections,,30,$0.00,
speed run,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,29,$0.00,
crop bra,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,28,$106.00,
scuba we made to much,N,collections/parentCategory_displayName,,32,$29.50,
wine leggings,N,sku_colorCodeDesc/parentCategory_displayName,,26,$49.00,
shirt sleeve swiftly tech,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,20,$0.00,
lined shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$0.00,
size 0 swiftly,N,collections/sku_size,,31,$68.00,
size 20 pants,N,parentCategory_displayName/sku_size/product_customAttribute4,,39,$660.00,size 20 pant
size 8 black leggings,N,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,13,$216.00,
we made too much belt bag,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,59,$501.50,
psychic scuba,N,sku_colorCodeDesc/collections,,22,$99.00,
run socks,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,22,$208.90,
summer glow scuba,N,sku_colorCodeDesc/collections,,31,$0.00,
swiftly tech short sleeve grey,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_colorGroup,EnglishMinimalStemFilter,33,$193.80,
diamond pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,19,$0.00,
tie dye leg,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,19,$0.00,
tie dye swiftly tech,N,sku_colorCodeDesc/collections,,27,$0.00,
velvet dust hotty,N,sku_colorCodeDesc/collections,,27,$49.00,
we made to much accessories,N,collections/parentCategory_displayName,,30,$111.15,
white lululemon belt bag,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,29,$77.00,
print tops,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,PorterStemFilter,11,$58.00,
we made too much energy bra,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,16,$165.00,
"25"" tight",Y,product_inseam/collections/parentCategory_displayName,EnglishMinimalStemFilter,8,$69.00,
align 6 in shorts,N,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,27,$231.00,align 6 in short
align bodysuit 28,Y,product_inseam/collections/sku_size/parentCategory_displayName,EnglishMinimalStemFilter/PatternReplaceFilter,49,"$2,361.00",
"align short 2""",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,22,$128.00,
align size 18,N,collections/sku_size/product_inseam,PatternReplaceFilter,9,$98.00,
black camo belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,29,$0.00,
black leggings size 4,N,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,38,$716.00,
black lulu bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,25,$238.60,
black shorts size 0,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,,20,$136.00,
blissful blue define jacket,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,26,$335.00,
cropped short sleeve shirt,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,32,$153.00,
cyan align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,30,$215.00,
dance studio pant dark lavender,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,10,$0.00,
dark green scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,33,$100.30,
ebb to train,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,31,$136.00,
electric lemon leggings,N,sku_colorCodeDesc/parentCategory_displayName,,23,$118.00,
electric lemon sports bra,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,13,$88.00,
fast and free men shirt,N,parentCategory_displayName/collections/product_customAttribute4/gender,EnglishMinimalStemFilter,12,$482.30,
fast and free tank top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,50,$662.65,
fast free pocket,N,sku_colorCodeDesc/collections/product_customAttribute4,,23,$681.40,
free to be sport bra,Y,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,21,$58.00,
free to wild,N,sku_colorCodeDesc/collections,,37,$307.20,
french press cloud bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,11,$0.00,
full zip top,N,parentCategory_displayName/sku_size/product_customAttribute4,EnglishMinimalStemFilter,6,$148.00,
hawaiian blue sports bra,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$58.00,
heather grey scuba,Y,sku_colorGroup/sku_colorCodeDesc/collections,PorterStemFilter,29,$100.30,
hike to swim short,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,31,$398.80,
kelly green swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,27,$0.00,
like a cloud tank,N,collections/sku_size/parentCategory_displayName,,18,$117.00,
lined studio pants,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,51,$678.50,lined studio pant
lululemon fundamental oversized,N,sku_colorCodeDesc/collections/parentCategory_displayName,,42,$645.50,
made too much swiftly tech,N,collections/parentCategory_displayName,,23,$49.00,
magenta speed up,N,sku_colorCodeDesc/collections/product_customAttribute4,,20,$284.00,
men long sleeve polo,N,product_topsLength_s/parentCategory_displayName/gender,,34,$954.50,
cropped tech,N,product_topsLength_s/collections,,41,$272.50,
lululemon dance,N,sku_colorCodeDesc/collections/product_activity/parentCategory_displayName,,33,$118.00,
poolside blue shirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,26,$146.00,
pistachio shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,29,$187.00,
bowline rip,N,sku_colorCodeDesc/collections,,26,$156.00,
scuba full zip up,N,collections/sku_size/product_customAttribute4,,37,$698.50,
shirts size 2,N,product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,25,$146.00,shirt size 2
wunder luxtreme,N,sku_colorCodeDesc/collections,,25,$117.00,
shorts size 6,N,sku_size/product_inseam/product_customAttribute4/parentCategory_displayName,PatternReplaceFilter,11,$138.00,
skirts we made too much,N,product_customAttribute4/parentCategory_displayName,,20,$98.00,
sonic pink dance studio pants,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,,19,$118.00,
java energy,N,sku_colorCodeDesc/collections,,22,$0.00,
speed up magenta,N,sku_colorCodeDesc/collections/product_customAttribute4,,25,$340.00,
summer glow belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,28,$114.00,
sunny coral shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,15,$0.00,
sweat shirts men,N,gender/collections/product_customAttribute4/parentCategory_displayName,,15,$230.40,
swiftly tech 2.5,N,collections/product_inseam,PatternReplaceFilter,24,$0.00,
swiftly tech long sleeve women,N,gender/product_topsLength_s/collections/parentCategory_displayName,,17,$293.20,
wild indigo pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,19,$178.00,
women 5 pocket,N,product_inseam/product_customAttribute4/gender/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,22,$424.00,
women cropped shirt,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter,26,$222.00,
women long shirt,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter,16,$0.00,
women wind breaker,N,sku_colorCodeDesc/collections/parentCategory_displayName/gender,,22,$424.00,
"wunder train short 4""",Y,product_inseam/product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,15,$64.00,
wunder under full on luxtreme,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/sku_size,PorterStemFilter,20,$0.00,
wunder under pocket,N,sku_colorCodeDesc/collections/product_customAttribute4,,54,"$1,359.45",
wunder under train bra,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,28,$229.10,
5 shorts men,Y,product_inseam/product_customAttribute4/gender/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,66,"$1,178.80","5"" short men"
"5"" men short",Y,product_inseam/product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,17,$0.00,
"5"" women short",Y,product_inseam/product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,11,$51.00,
align tank blissful blue,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,15,$68.00,
align tank sonic,N,sku_colorCodeDesc/collections/parentCategory_displayName,,28,$119.00,
align tank sonic blue,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,10,$0.00,
belt bag lavender,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,29,$222.80,
black cropped pants,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_colorGroup,,20,$148.00,
black leopard print,N,sku_colorGroup/sku_colorCodeDesc,PorterStemFilter,25,$0.00,
black swiftly tech tank,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,23,$174.00,
cargo hiking tight,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,EnglishMinimalStemFilter,32,$302.65,
cargo shirt jacket,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,28,$734.15,
carnation red leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,25,$118.00,
cloud bra dd,N,sku_size/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$100.00,
commission long sleeve shirt wash,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,38,$845.95,
cropped dance pants,N,product_customAttribute4/product_activity/collections/parentCategory_displayName/product_topsLength_s,,29,$704.00,
cropped white shirt,Y,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_colorGroup,EnglishMinimalStemFilter,28,$188.00,
dark forest align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,27,$129.00,
fast and free short 3,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter/PatternReplaceFilter,21,$403.00,
flush pink bottoms,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4,,20,$0.00,
full size scuba,N,collections/sku_size,,42,$228.30,
pants short,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,85,"$1,020.50",
leggings align 28,Y,product_inseam/collections/sku_size/parentCategory_displayName,PatternReplaceFilter,27,$824.00,
lilac smoke pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,PorterStemFilter,22,$148.00,
long sleeve sonic pink,N,sku_colorGroup/product_topsLength_s/sku_colorCodeDesc/parentCategory_displayName,,49,$127.00,long sleeve lip gloss
love the crew,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,,18,$116.00,
lululemon align pant 28,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,35,"$1,187.00",
lululemon pace breaker,N,sku_colorCodeDesc/collections/parentCategory_displayName,,28,$204.00,
lululemon swiftly tech short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,21,$68.00,
31 align,Y,collections/product_inseam/sku_size,PatternReplaceFilter,41,"$1,176.00",
mint moment scuba,N,sku_colorCodeDesc/collections,,23,$227.50,
pace breaker 6,N,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,24,$0.00,
crew b,N,sku_size/product_customAttribute4,,33,$514.50,
poolside blue swiftly,N,sku_colorGroup/sku_colorCodeDesc/collections,,26,$54.00,
chino pants,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,30,$236.80,
train contour,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,29,$461.00,
cropped studio,N,product_topsLength_s/collections,,28,$352.00,
base 25,Y,sku_size/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,25,$118.00,
short bike shorts,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,22,$48.00,
short sleeve shirt men,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,27,$858.00,
shorts 3 in,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName,PatternReplaceFilter,21,$98.00,
size 12 black leggings,N,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,13,$0.00,
soft jersey pants,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,84,"$3,425.50",
ebb to street long sleeve shirt,Y,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,196,"$2,872.70",
capri 17,Y,product_inseam/parentCategory_displayName,EnglishMinimalStemFilter/PatternReplaceFilter,20,$176.00,
swiftly tech cheetah print,N,sku_colorGroup/sku_colorCodeDesc/collections,PorterStemFilter,20,$0.00,
symphony blue hotty,N,sku_colorGroup/sku_colorCodeDesc/collections,,18,$0.00,
dress women,Y,gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,19,$436.00,
under ease bikini,N,collections/product_customAttribute4,,34,$857.10,
warm coral bra,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,16,$0.00,
we made to much tank tops,N,collections/product_customAttribute4/parentCategory_displayName,,82,$183.30,we made to much tank tops
we made too much dress,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,33,$483.00,we made too much dresses
women short pocket,N,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,20,$503.00,women shorts pocket
camouflage joggers,N,sku_colorGroup_fr/parentCategory_displayName,,12,$177.00,
wunder under train 31,N,product_inseam/product_customAttribute4/product_activity/collections/sku_size,PorterStemFilter/PatternReplaceFilter,28,$0.00,
yoga mat bags,N,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,40,$727.60,
2xl belt bag,N,parentCategory_displayName/sku_size/product_customAttribute4,EnglishMinimalStemFilter,33,$374.00,
9 in shorts,Y,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,17,$648.00,
align tank cyan,N,sku_colorCodeDesc/collections/parentCategory_displayName,,23,$283.00,
"base pace 8""",N,sku_colorCodeDesc/collections/product_customAttribute4/product_inseam,,29,$329.30,
base pace running tight,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,9,$59.00,
black align leggings 25,Y,product_inseam/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,45,"$1,048.60",
black and gold belt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4,,33,$308.80,
black and gold everywhere bag,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,24,$280.80,
blush pink shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,21,$0.00,
bra a b,N,sku_size/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,19,$58.00,
classic black leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,15,$265.00,
crop tops made too much,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,PorterStemFilter,6,$0.00,
dark red pants,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,24,$345.00,
define jacket light blue,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,34,$354.00,
dress shorts men,N,gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,17,$176.00,
fast and free women,N,parentCategory_displayName/collections/product_customAttribute4/gender,,27,$256.00,
hiking shirt men,Y,parentCategory_displayName/gender/product_customAttribute4/product_activity,EnglishMinimalStemFilter,22,$275.00,
leggings fast and free,N,collections/product_customAttribute4/parentCategory_displayName,,19,$256.00,
lined short 2.5,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter/PatternReplaceFilter,19,$68.00,
lined short 5,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,26,$402.00,"lined short 5"""
long sleeve swiftly shirt,Y,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$381.00,
lulu black leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,27,$196.00,
lulu lemon scuba,N,sku_colorCodeDesc/collections,,27,$118.00,
lululemon align racerback,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,28,$194.00,
lululemon align short 6,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,21,$289.40,
lululemon align sports bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,19,$141.00,
made too much scuba,N,collections/parentCategory_displayName,,25,$69.00,
made too much sports bra,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12,$117.00,
made too much swiftly,N,collections/parentCategory_displayName,,26,$205.00,
men made too much,N,parentCategory_displayName/gender,,28,$337.90,
men no show,N,sku_colorCodeDesc/product_customAttribute4/gender,,29,$270.00,
men short shorts,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,17,$0.00,
tech long,N,product_topsLength_s/collections/parentCategory_displayName,,49,$663.00,
neon yellow bra,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,21,$196.00,
meadowsweet scuba,N,sku_colorCodeDesc/collections,,39,$548.80,
