gender,parentCategory_displayName,sku_size,product_topsLength_s,collections,sku_colorCodeDesc,sku_colorGroup,sku_colorGroup_fr,product_inseam,product_activity,product_customAttribute4
,,,,,Spiced Bronze,,,,,
,,,,,chalk,,,,,
,,,,,Knit Leopard Graphite Grey Black,,,,,
,,,,,Paint Spark Multi,,,,,
,,,,,Heathered Core Light Grey,,,,,
,,,,,Heathered Kohlrabi Green,,,,,
,,,,,Heathered Larkspur,,,,,
,,,,,Pocket Stripe Pitch Blue Brown Earth,,,,,
,,,,,POCKET STRIPE RHINO GREY GRAPHITE GREY,,,,,
,,,,,Pocket Stripe Windmill Oasis Blue,,,,,
,,,,,Gravel Dust Asphalt Grey Multi,,,,,
,,,,,Gravel Dust True Navy Multi,,,,,
,,,,,Heathered Blazer Blue,,,,,
,,,,,Heathered Blue Chill,,,,,
,,,,,Heathered Blue Linen,,,,,
,,,,,heathered iron blue,,,,,
,,,,,Ice Green,,,,,
,,,,,sea spray alpine white dark chrome,,,,,
,,,,,Beech Wood,,,,,
,,,,,College Crimson,,,,,
,,,,,Commission Stripe Black White,,,,,
,,,,,Commission Stripe Cyber Violet Vitapink,,,,,
,,,,,Exurbia Print Bold Beige Tidal Teal,,,,,
,,,,,Exurbia Print Mauve Grey Shadow Grey,,,,,
,,,,,Gossamer Floral Vita Pink Multi,,,,,
,,,,,kayak blue,,,,,
,,,,,Kayak Blue Light,,,,,
,,,,,Le Tigre Camo Deep Coal Multi,,,,,
,,,,,Flash Light,,,,,
,,,,,Heritage 365 Camo Rhino Grey Multi,,,,,
,,,,,Meteor Wash Print Multi,,,,,
,,,,,Purist Dotted Speckle Blue Denim,,,,,
,,,,,Purist Dotted Speckle Vintage Plum Faint Coral,,,,,
,,,,,Purist More Fruit,,,,,
,,,,,Purist Team Wordmark,,,,,
,,,,,Yellow Pear,,,,,
,,,,,Beaming Yellow,,,,,
,,,,,Bright White,,,,,
,,,,,Floral Freestyle Black Multi,,,,,
,,,,,Floral Freestyle Multi,,,,,
,,,,,Floral Glitch Multi,,,,,
,,,,,Formation Camo Deep Coal Multi,,,,,
,,,,,Heathered Chambray,,,,,
,,,,,Heathered Code Blue,,,,,
,,,,,heathered Copper Brown,,,,,
,,,,,Heathered Coral Kiss,,,,,
,,,,,Heathered Rover,,,,,
,,,,,Heathered Silver Drop,,,,,
,,,,,heathered slate,,,,,
,,,,,Jaded,,,,,
,,,,,Marmoleado Tie Dye Highlight Yellow,,,,,
,,,,,Marmoleado Tie Dye White Opal Rosemary Green,,,,,
,,,,,River Blue,,,,,
,,,,,Shadow Grey,,,,,
,,,,,Sunbeam Floral Multi,,,,,
,,,,,Enzyme Dye Lilac Ether,,,,,
,,,,,Enzyme Dye Mineral Blue,,,,,
,,,,,Grey Eucalyptus,,,,,
,,,,,Tofino Teal,,,,,
,,,,,Whimsical Meld WP Bone Mineral Blue,,,,,
,,,,,Blue Cast,,,,,
,,,,,Blue Charcoal,,,,,
,,,,,Diffuse Starlight Black,,,,,
,,,,,Faint Coral,,,,,
,,,,,Lined Leopard WP Anchor Multi,,,,,
,,,,,Modern Stripe White Heathered Medium Grey,,,,,
,,,,,Peri Purple,,,,,
,,,,,Pink Glow,,,,,
,,,,,Digital Bloom Blur Multi,,,,,
,,,,,Digital Lavender,,,,,
,,,,,Digital Murmuration Teal Multi,,,,,
,,,,,Dusty Bronze,,,,,
,,,,,Gully Green,,,,,
,,,,,nautical navy,,,,,
,,,,,power luxtreme spray jacquard sapphire blue black,,,,,
,,,,,Bone Radiate Transparent Foil,,,,,
,,,,,Ember Radiate Mango Dream Multi,,,,,
,,,,,Heathered Green Jasper,,,,,
,,,,,Heathered Poolside,,,,,
,,,,,Ruby Red,,,,,
,,,,,Tiger,,,,,
,,,,,Future Noise Jacquard,,,,,
,,,,,Lululemon Ombre Red Multi,,,,,
,,,,,No Colour,,,,,
,,,,,Nocturnal Teal,,,,,
,,,,,Segment Emboss Black,,,,,
,,,,,Viridian Green,,,,,
,,,,,Light Quicksand,,,,,
,,,,,Marble Dye Wasabi,,,,,
,,,,,pop cut fatigue green black,,,,,
,,,,,Boundless Stripe Black White,,,,,
,,,,,Boundless Stripe Bone Black,,,,,
,,,,,dandy digie multi,,,,,
,,,,,Dark Sport Red,,,,,
,,,,,Distressed Twill Emboss Black,,,,,
,,,,,Fluro Citrus Tone,,,,,
,,,,,Maize Yellow,,,,,
,,,,,blurry belle multi,,,,,
,,,,,In-Sense Emboss Solar Orange,,,,,
,,,,,Midnight Navy,,,,,
,,,,,Regal Plum,,,,,
,,,,,Apparition Jacquard Riverstone Rover,,,,,
,,,,,Heather Allover Sea Salt Light Cast,,,,,
,,,,,pigment wind duck sauce multi,,,,,
,,,,,Red Grape,,,,,
,,,,,Rich Caramel,,,,,
,,,,,Traverse Grey,,,,,
,,,,,Heathered Lilac Ether,,,,,
,,,,,Heathered Lilac Smoke,,,,,
,,,,,Heritage Camo Max Rover White Opal,,,,,
,,,,,Aquila Rhino Grey Multi,,,,,
,,,,,Code Blue,,,,,
,,,,,cyber black deep coal,,,,,
,,,,,Kaleidofloral Multi,,,,,
,,,,,Multicolour Geo Wash Multi,,,,,
,,,,,razzle,,,,,
,,,,,Lemon Vibe,,,,,
,,,,,pink sorbet,,,,,
,,,,,Burnside Green,,,,,
,,,,,Poseidon,,,,,
,,,,,Luminesce Splatter Ice Grey Black,,,,,
,,,,,Heritage 365 Camo Green Twill Multi,,,,,
