Matched Shingle,Entities,Shingle Type,Entity Type,Search Query,Visits,Revenue,Overlap,Entity Overlaps,Entity Type Overlaps
shirt,Shirt Dresses|Short Sleeve Shirts|Long Sleeve Shirts|Button Down Shirts|Polo Shirts,partial,partial|full,swiftly shirt,53547,"$469,522.85",yes,6,2
tennis,tennis,full,full,tennis skirt,36554,"$290,504.58",no,1,1
skirt,Athletic Skirts,partial,full|partial,tennis skirt,36554,"$290,504.58",yes,2,2
java,java,full,full,java,32942,"$195,831.64",no,1,1
espresso,Heathered Dark Espresso|Monarch Bloom Bone Espresso,partial,full|partial,espresso,57850,"$578,699.25",yes,3,2
bone,Heathered Bone|Monarch Bloom Bone Espresso|Inherent Brush WP Bone Raw Linen|Whimsical Meld WP Bone Mineral Blue|Bone Radiate Transparent Foil|Boundless Stripe Bone Black,partial,full|partial,bone,39693,"$347,961.27",yes,7,2
dance,Dance Studio,partial,partial|full,dance studio pants,44796,"$377,207.60",yes,2,2
dance studio,dance studio,full,full,dance studio pants,44796,"$377,207.60",no,1,1
studio,Dance Studio,partial,partial,dance studio pants,44796,"$377,207.60",no,1,1
pants,5 Pocket Pants|Cargo Pants|Dress Pants,partial,partial|full,dance studio pants,44796,"$377,207.60",yes,4,2
fast,Fast & Free,partial,partial,fast and free,46169,"$442,761.09",no,1,1
and,Wallets and Pouches,partial,partial,fast and free,46169,"$442,761.09",no,1,1
free,Fast & Free|Free to Be,partial,partial,fast and free,46169,"$442,761.09",yes,2,1
flush,Flush Pink,partial,partial,flush pink,30303,"$149,933.25",no,1,1
flush pink,flush pink,full,full,flush pink,30303,"$149,933.25",no,1,1
pink,Sonic Pink|Flush Pink|Meadowsweet Pink|Pink Peony|Glaze Pink|Heathered Glaze Pink|Pink Pastel|Pink Clay|Pink Mist|Dew Pink|Flower Glide Max Pink Multi|Pow Pink|Sakura Pink|Azalea Pink|Vintage Pink|Ombre Glide Washed Mauve Sakura Pink Peach Bellini|NOUVEAU MARBLE Meadow Sweet Pink Multi|Pink Lychee|Pink Puff|Highlight Pink|butter pink|Heathered Meadowsweet Pink|Incognito Camo Pink Taupe Multi|Inline Stripe White Heathered Pink Peony|Gossamer Floral Vita Pink Multi|Pink Glow|pink sorbet,partial,partial|full,flush pink,30303,"$149,933.25",yes,28,2
bike,bike,full,full,bike short,29690,"$99,422.55",no,1,1
short,Short Sleeve Shirts|Short Serve Stripe Heathered Medium Grey Black|Short Serve Stripe White Black|Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,full|partial,bike short,29690,"$99,422.55",yes,11,2
speed,Speed Up|Swift Speed,partial,partial,speed up shorts,38082,"$207,414.90",yes,2,1
speed up,speed up,full,full,speed up shorts,38082,"$207,414.90",no,1,1
up,Speed Up|Zip Up Sweatshirts,partial,partial,speed up shorts,38082,"$207,414.90",yes,2,1
shorts,Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,partial|full,speed up shorts,38082,"$207,414.90",yes,7,2
pouch,Wallets and Pouches,partial,partial,dual pouch wristlet,65252,"$787,321.15",no,1,1
scuba,scuba,full,full,scuba half zip,48439,"$511,283.90",no,1,1
half,Half Zip Sweatshirts,partial,partial,scuba half zip,48439,"$511,283.90",no,1,1
half zip,Half Zip Sweatshirts,partial,partial,scuba half zip,48439,"$511,283.90",no,1,1
zip,Half Zip Sweatshirts|Zip Up Sweatshirts,partial,partial,scuba half zip,48439,"$511,283.90",yes,2,1
socks,No Show Socks|Ankle Socks|Crew Socks|Knee High Socks,partial,partial|full,socks,57110,"$503,462.16",yes,5,2
hotty,Hotty Hot,partial,partial,hotty,43285,"$276,290.40",no,1,1
golf,golf,full,full,golf,30687,"$272,914.11",no,1,1
short,Short Sleeve Shirts|Short Serve Stripe Heathered Medium Grey Black|Short Serve Stripe White Black|Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,full|partial,short,32397,"$121,176.38",yes,11,2
crossbody,Crossbody Bags,partial,partial,crossbody belt bag,35039,"$201,992.95",no,1,1
belt,Belt Bags,partial,partial,crossbody belt bag,35039,"$201,992.95",no,1,1
bag,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,crossbody belt bag,35039,"$201,992.95",yes,5,2
camo,Heritage 365 Camo Deep Coal Multi|Backcountry Camo Blue Orange Multi|Cheetah Camo Deep Coal Multi|Heritage 365 Camo Black Multi|Heritage 365 Camo Smoky Red Night Sea Multi|Incognito Camo Multi Gator Green|Incognito Camo Multi Grey|Incognito Camo Pink Taupe Multi|Le Tigre Camo Deep Coal Multi|Heritage 365 Camo Rhino Grey Multi|Formation Camo Deep Coal Multi|Heritage Camo Max Rover White Opal|Heritage 365 Camo Green Twill Multi,partial,partial,camo leggings,32376,"$226,251.75",yes,13,1
leggings,leggings,full,full,camo leggings,32376,"$226,251.75",no,1,1
dark,Dark Lavender|Dark Forest|Dark Red|Dark Oxide|Dark Olive|Heathered Dark Espresso|heathered dark forest|Heathered Dark Olive|Dark Mocha|Dark Chrome|Dark Coffee|3 Colour Space Dye Deep Coal Dark Carbon|sea spray alpine white dark chrome|Dark Sport Red,partial,partial,dark lavender,27936,"$157,495.20",yes,14,1
dark lavender,dark lavender,full,full,dark lavender,27936,"$157,495.20",no,1,1
lavender,Dark Lavender|Lavender Dew|Digital Lavender,partial,partial,dark lavender,27936,"$157,495.20",yes,3,1
long,Long Sleeve Shirts,partial,full|partial,long sleeve,47228,"$319,056.00",yes,2,2
long sleeve,Long Sleeve Shirts,partial,partial,long sleeve,47228,"$319,056.00",no,1,1
sleeve,Short Sleeve Shirts|Long Sleeve Shirts,partial,partial,long sleeve,47228,"$319,056.00",yes,2,1
energy,energy,full,full,energy bra,39600,"$327,343.17",no,1,1
bra,Sports Bras|Racerback Bras,partial,partial,energy bra,39600,"$327,343.17",yes,2,1
leggings,leggings,full,full,flare leggings,35271,"$225,701.50",no,1,1
year,5 Year Basic,partial,partial,women's end of year finds,16470,"$44,044.90",no,1,1
love,Love Red,partial,full|partial,love,37957,"$357,421.81",yes,2,2
hotty,Hotty Hot,partial,partial,hotty hot shorts,31182,"$140,462.15",no,1,1
hotty hot,hotty hot,full,full,hotty hot shorts,31182,"$140,462.15",no,1,1
hot,Hot Heat|Hotty Hot,partial,partial,hotty hot shorts,31182,"$140,462.15",yes,2,1
shorts,Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,partial|full,hotty hot shorts,31182,"$140,462.15",yes,7,2
shorts,Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,partial|full,women's shorts,23067,"$103,045.15",yes,7,2
jackets,Athletic Jackets|Rain Jackets|Puffer Jackets|Bomber Jackets,partial,partial|full,jackets,37074,"$413,733.53",yes,5,2
swiftly,swiftly,full,full,swiftly tech short sleeve,32160,"$297,065.15",no,1,1
tech,Metal Vent Tech,partial,partial,swiftly tech short sleeve,32160,"$297,065.15",no,1,1
short,Short Sleeve Shirts|Short Serve Stripe Heathered Medium Grey Black|Short Serve Stripe White Black|Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,full|partial,swiftly tech short sleeve,32160,"$297,065.15",yes,11,2
short sleeve,Short Sleeve Shirts,partial,partial,swiftly tech short sleeve,32160,"$297,065.15",no,1,1
sleeve,Short Sleeve Shirts|Long Sleeve Shirts,partial,partial,swiftly tech short sleeve,32160,"$297,065.15",yes,2,1
tennis,tennis,full,full,tennis skirts,26046,"$243,105.46",no,1,1
skirts,Athletic Skirts,partial,full|partial,tennis skirts,26046,"$243,105.46",yes,2,2
belt,Belt Bags,partial,partial,belt,43581,"$238,746.75",no,1,1
slides,slides,full,full,slides,43549,"$454,080.87",no,1,1
ebb,Ebb to Street,partial,partial,ebb to street,33184,"$172,086.19",no,1,1
ebb to,Ebb to Street,partial,partial,ebb to street,33184,"$172,086.19",no,1,1
ebb to street,ebb to street,full,full,ebb to street,33184,"$172,086.19",no,1,1
to,License To Train|Built To Move|Ebb to Street|Free to Be|Ready to Rulu,partial,partial,ebb to street,33184,"$172,086.19",yes,5,1
to street,Ebb to Street,partial,partial,ebb to street,33184,"$172,086.19",no,1,1
street,Ebb to Street,partial,partial,ebb to street,33184,"$172,086.19",no,1,1
bodysuit,bodysuit,full,full,bodysuit,29826,"$250,635.77",no,1,1
sculpt,sculpt,full,full,sculpt tank,26024,"$199,160.60",no,1,1
tank,Tank Tops,partial,partial,sculpt tank,26024,"$199,160.60",no,1,1
utility,Utility Blue|Utility Yellow|Flicker Pace Utility Blue Multi,partial,partial,utility blue,22307,"$120,983.45",yes,3,1
utility blue,Flicker Pace Utility Blue Multi,partial,full|partial,utility blue,22307,"$120,983.45",yes,2,2
blue,Utility Blue|Pitch Blue|Cyan Blue|Powder Blue|Aero Blue|Pipe Dream Blue|Hawaiian Blue|Pastel Blue|Belgian Blue|Blue Linen|Iron Blue|Oasis Blue|shocking blue|Sheer Blue|Icing Blue|Symphony Blue|Blue Nile|Blazer Blue Tone|Petrol Blue|Blissful Blue|Sinatra Blue|jungle floor turquoise sea naval blue|Mineral Blue|Backcountry Camo Blue Orange Multi|Cross Court Wash Pastel Blue Multi|Twice Blue|oil slick blue|Silver Blue|Cerulean Blue|Gatsby Blue|Heathered Belgian Blue|samba snake kayak blue hero blue|samba snake kayak blue hero blue|Cadet Blue|Shale Blue|Heathered Oasis Blue|rope rappel angel wing rugged blue|Blue Willow|Circulate Tie Dye Mineral Blue Multi|Flicker Pace Utility Blue Multi|Hero Blue|Stippled Fusion Belgian Blue Multi|Ink Islands Twice Blue Multi|Inline Stripe White Heathered Blue Linen|Pocket Stripe Pitch Blue Brown Earth|Pocket Stripe Windmill Oasis Blue|Heathered Blazer Blue|Heathered Blue Chill|Heathered Blue Linen|heathered iron blue|kayak blue|Kayak Blue Light|Purist Dotted Speckle Blue Denim|Heathered Code Blue|River Blue|Enzyme Dye Mineral Blue|Whimsical Meld WP Bone Mineral Blue|Blue Cast|Blue Charcoal|power luxtreme spray jacquard sapphire blue black|Code Blue,partial,full|partial,utility blue,22307,"$120,983.45",yes,61,2
headband,headband,full,full,headband,34690,"$136,932.48",no,1,1
ebb,Ebb to Street,partial,partial,ebb,33466,"$193,606.78",no,1,1
