Left Term,Match Type,Entity,Original Line,Rewritten Line
wrap leggings,,,"wrap leggings => twist waist, wrap leggings","wrap leggings => wrap leggings, twist waist, wrap leggings"
tracksuit,,,"tracksuit => dance studio, track pants, track suit","tracksuit => tracksuit, dance studio, track pants, track suit"
under wear,,,under wear => underwear,"under wear => under wear, underwear"
small backpack,,,"small backpack => nano, city adventurer backpack micro, city adventurer backpack mini","small backpack => small backpack, nano, city adventurer backpack micro, city adventurer backpack mini"
makeup bags,,,makeup bags => pouch,"makeup bags => makeup bags, pouch"
cropped zip up,,,cropped zip up => cropped jacket,"cropped zip up => cropped zip up, cropped jacket"
speed wunder,,,"speed wunder => speed, wunder","speed wunder => speed wunder, speed, wunder"
free to be zen,,,"free to be zen => free to be wild, free to be bra","free to be zen => free to be zen, free to be wild, free to be bra"
train times,,,"train times        => workout leggings, workout shorts","train times => train times, workout leggings, workout shorts"
train time,,,"train time        => workout leggings, workout shorts","train time => train time, workout leggings, workout shorts"
scuba crop,,,"scuba crop => scuba high-rise jogger, scuba jogger, scuba oversized","scuba crop => scuba crop, scuba high-rise jogger, scuba jogger, scuba oversized"
flash forward,,,flash forward => womens running jacket,"flash forward => flash forward, womens running jacket"
key to balance,,,"key to balance => blissful bend tank, align tank, key","key to balance => key to balance, blissful bend tank, align tank, key"
key to balance tank,,,"key to balance tank => blissful bend tank, align tank, key","key to balance tank => key to balance tank, blissful bend tank, align tank, key"
on the fly short,,,on the fly short => women's casual shorts,"on the fly short => on the fly short, women's casual shorts"
on the fly shorts,,,on the fly shorts => women's casual shorts,"on the fly shorts => on the fly shorts, women's casual shorts"
on the fly,full,collections,on the fly => women's casual,"on the fly => on the fly, women's casual"
baby blue,,,"baby blue => pastel blue, silver blue, blue linen","baby blue => baby blue, pastel blue, silver blue, blue linen"
pale blue,,,"pale blue => pastel blue, silver blue, blue linen","pale blue => pale blue, pastel blue, silver blue, blue linen"
lined jogger,,,lined jogger => fleece jogger,"lined jogger => lined jogger, fleece jogger"
lined joggers,,,lined joggers => fleece jogger,"lined joggers => lined joggers, fleece jogger"
unleash,,,"unleash => womens workout bras, womens hoodies","unleash => unleash, womens workout bras, womens hoodies"
brick,,,"brick => highlight orange, canyon orange, saffron","brick => brick, highlight orange, canyon orange, saffron"
grove pant,,,grove pant => groove pant,"grove pant => grove pant, groove pant"
all hours,,,"all hours => belt bags, womens backpacks","all hours => all hours, belt bags, womens backpacks"
action always,,,action always => womens training shirts,"action always => action always, womens training shirts"
periwinkle,,,"periwinkle => lavender, water drop, blue linen, serene blue, chambray","periwinkle => periwinkle, lavender, water drop, blue linen, serene blue, chambray"
welterweight,,,"welterweight => mens hoodies, mens joggers","welterweight => welterweight, mens hoodies, mens joggers"
lime green,,,"lime green => highlight yellow, neo mint","lime green => lime green, highlight yellow, neo mint"
get centered,,,get centered => cropped hoodie,"get centered => get centered, cropped hoodie"
get centred,,,get centred => cropped hoodie,"get centred => get centred, cropped hoodie"
