Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
dark green scuba,N,sku_colorCodeDesc(dark_green)/sku_colorGroup(green)/collections(scuba),,33,$100.30
ebb to train,Y,collections(ebb_to_train)/product_activity(train)/product_customAttribute4(train),PorterStemFilter(train),31,$136.00
electric lemon leggings,N,sku_colorCodeDesc(electric_lemon)/parentCategory_displayName(leggings),,23,$118.00
electric lemon sports bra,N,sku_colorCodeDesc(electric_lemon)/parentCategory_displayName(bra_sports)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),13,$88.00
fast and free men shirt,N,collections(fast_free)/product_customAttribute4(and_shirt)/gender(men)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),12,$482.30
fast and free tank top,N,collections(fast_free)/product_customAttribute4(and_top)/parentCategory_displayName(tank_top),EnglishMinimalStemFilter(top),50,$662.65
fast free pocket,N,collections(fast_free)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),,23,$681.40
free to be sport bra,Y,collections(be_free_to)/sku_colorCodeDesc(sport)/parentCategory_displayName(bra_sport)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra_sport),21,$58.00
free to wild,N,collections(free_to)/sku_colorCodeDesc(wild),,37,$307.20
french press cloud bra,N,sku_colorCodeDesc(french_press)/collections(cloud)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),11,$0.00
full zip top,N,sku_size(full)/product_customAttribute4(top_zip)/parentCategory_displayName(top),EnglishMinimalStemFilter(top),6,$148.00
hawaiian blue sports bra,N,sku_colorCodeDesc(blue_hawaiian)/sku_colorGroup(blue)/parentCategory_displayName(bra_sports)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),23,$58.00
heather grey scuba,Y,sku_colorCodeDesc(grey_heather)/sku_colorGroup(grey)/collections(scuba),PorterStemFilter(heather),29,$100.30
hike to swim short,N,product_activity(hike_swim)/collections(to)/parentCategory_displayName(short_swim)/product_topsLength_s(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),PorterStemFilter(hike)/EnglishMinimalStemFilter(short),31,$398.80
kelly green swiftly tech,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/collections(swiftly_tech),,27,$0.00
"license to train short 5""",Y,"collections(license_to_train)/product_activity(train)/product_customAttribute4(short_train)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_inseam(5"")",PorterStemFilter(train)/EnglishMinimalStemFilter(short),45,$558.80
like a cloud tank,N,collections(a_cloud_like)/sku_size(a)/parentCategory_displayName(tank),,18,$117.00
lined studio pants,N,sku_colorCodeDesc(lined)/collections(studio)/product_customAttribute4(pants)/parentCategory_displayName(pants),,28,$206.50
lululemon align tank tops,N,collections(align_lululemon)/parentCategory_displayName(lululemon_tank_tops)/sku_colorCodeDesc(lululemon)/product_customAttribute4(tops),,16,$39.00
lululemon fundamental oversized,N,collections(fundamental_lululemon_oversized)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon),,42,$645.50
made too much swiftly tech,N,parentCategory_displayName(made_much_too)/collections(swiftly_tech),,23,$49.00
magenta speed up,N,sku_colorCodeDesc(magenta)/collections(speed_up)/product_customAttribute4(up),,20,$284.00
men long sleeve polo,N,gender(men)/product_topsLength_s(long)/parentCategory_displayName(long_polo_sleeve),,34,$954.50
cropped tech,N,product_topsLength_s(cropped)/collections(tech),,41,$272.50
lululemon dance,N,collections(dance_lululemon)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon)/product_activity(dance),,33,$118.00
poolside blue shirt,N,sku_colorCodeDesc(blue_poolside)/sku_colorGroup(blue)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),26,$146.00
pistachio shirt,Y,sku_colorCodeDesc(pistachio)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),29,$187.00
bowline rip,N,collections(bowline)/sku_colorCodeDesc(rip),,26,$156.00
scuba full zip up,N,collections(scuba_up)/sku_size(full)/product_customAttribute4(up_zip),,37,$698.50
shirts size 2,N,parentCategory_displayName(shirts)/sku_size(2_size)/product_inseam(2),PatternReplaceFilter(2),14,$78.00
wunder luxtreme,N,collections(wunder)/sku_colorCodeDesc(luxtreme),,25,$117.00
shorts size 6,N,product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_size(6_size)/product_inseam(6),PatternReplaceFilter(6),11,$138.00
size 0 tank top,N,sku_size(0_size)/parentCategory_displayName(tank_top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),24,$39.00
skirts we made too much,N,parentCategory_displayName(made_much_skirts_too_we)/product_customAttribute4(skirts),,20,$98.00
sonic pink dance studio pants,N,sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink)/collections(dance_studio)/product_activity(dance)/product_customAttribute4(pants)/parentCategory_displayName(pants),,19,$118.00
java energy,N,sku_colorCodeDesc(java)/collections(energy),,22,$0.00
speed up magenta,N,collections(speed_up)/product_customAttribute4(up)/sku_colorCodeDesc(magenta),,25,$340.00
summer glow belt bag,N,sku_colorCodeDesc(glow_summer)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),28,$114.00
sunny coral shirt,Y,sku_colorCodeDesc(coral_sunny)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),15,$0.00
sweat shirts men,N,product_customAttribute4(sweat)/collections(sweat)/parentCategory_displayName(shirts)/gender(men),,15,$230.40
swiftly tech 2.5,N,collections(swiftly_tech)/product_inseam(2.5),PatternReplaceFilter(2.5),24,$0.00
swiftly tech long sleeve women,N,collections(swiftly_tech)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve_women)/gender(women),,17,$293.20
we made to much shirt,N,parentCategory_displayName(made_much_shirt_we)/collections(to)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),26,$29.00
wild indigo pants,N,sku_colorCodeDesc(indigo_wild)/product_customAttribute4(pants)/parentCategory_displayName(pants),,19,$178.00
women 5 pocket,N,gender(women)/parentCategory_displayName(women)/product_customAttribute4(5_pocket)/collections(5)/sku_size(5)/product_inseam(5)/sku_colorCodeDesc(pocket),PatternReplaceFilter(5),22,$424.00
women cropped shirt,Y,gender(women)/parentCategory_displayName(shirt_women)/product_topsLength_s(cropped)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),26,$222.00
women long shirt,Y,gender(women)/parentCategory_displayName(long_shirt_women)/product_topsLength_s(long)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),16,$0.00
women wind breaker,N,gender(women)/parentCategory_displayName(women)/sku_colorCodeDesc(wind)/collections(breaker),,22,$424.00
lavender tights,N,sku_colorCodeDesc(lavender)/parentCategory_displayName(tights),,11,$74.80
"wunder train short 4""",Y,"collections(train_wunder)/product_activity(train)/product_customAttribute4(short_train)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_inseam(4"")",PorterStemFilter(train)/EnglishMinimalStemFilter(short),15,$64.00
wunder under full on luxtreme,N,collections(on_under_wunder)/sku_size(full_on)/product_activity(on)/product_customAttribute4(on)/sku_colorCodeDesc(luxtreme),PorterStemFilter(on),20,$0.00
wunder under pocket,N,collections(under_wunder)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),,54,"$1,359.45"
wunder under train bra,N,collections(train_under_wunder)/product_activity(train)/product_customAttribute4(bra_train)/parentCategory_displayName(bra),PorterStemFilter(train)/EnglishMinimalStemFilter(bra),28,$229.10
5 shorts men,Y,product_customAttribute4(5_shorts)/collections(5)/sku_size(5)/product_inseam(5)/parentCategory_displayName(shorts)/gender(men),PatternReplaceFilter(5),38,$486.80
"5"" men short",Y,"product_inseam(5"")/gender(men)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)",EnglishMinimalStemFilter(short),17,$0.00
"5"" women short",Y,"product_inseam(5"")/gender(women)/parentCategory_displayName(short_women)/product_topsLength_s(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)",EnglishMinimalStemFilter(short),11,$51.00
align tank blissful blue,N,collections(align)/parentCategory_displayName(tank)/sku_colorCodeDesc(blissful_blue)/sku_colorGroup(blue),,15,$68.00
align tank sonic,N,collections(align)/parentCategory_displayName(tank)/sku_colorCodeDesc(sonic),,28,$119.00
align tank sonic blue,N,collections(align)/parentCategory_displayName(tank)/sku_colorCodeDesc(blue_sonic)/sku_colorGroup(blue),,10,$0.00
belt bag lavender,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_colorCodeDesc(lavender),EnglishMinimalStemFilter(bag),29,$222.80
black cropped pants,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/product_topsLength_s(cropped)/product_customAttribute4(pants)/parentCategory_displayName(pants),,20,$148.00
black leopard print,N,sku_colorGroup(black_print)/sku_colorCodeDesc(black_leopard_print),PorterStemFilter(print),25,$0.00
black swiftly tech tank,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/collections(swiftly_tech)/parentCategory_displayName(tank),,23,$174.00
cargo hiking tight,N,product_customAttribute4(cargo)/product_activity(hiking)/collections(tight)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),32,$302.65
cargo shirt jacket,N,product_customAttribute4(cargo_jacket_shirt)/parentCategory_displayName(jacket_shirt),EnglishMinimalStemFilter(jacket_shirt),28,$734.15
carnation red leggings,N,sku_colorCodeDesc(carnation_red)/sku_colorGroup(red)/parentCategory_displayName(leggings),,25,$118.00
cloud bra dd,N,collections(cloud)/parentCategory_displayName(bra)/product_customAttribute4(bra)/sku_size(dd),EnglishMinimalStemFilter(bra),23,$100.00
commission long sleeve shirt wash,N,collections(commission)/sku_colorCodeDesc(commission_wash)/product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt)/PorterStemFilter(wash),38,$845.95
cropped dance pants,N,product_topsLength_s(cropped)/collections(dance)/product_activity(dance)/product_customAttribute4(pants)/parentCategory_displayName(pants),,29,$704.00
cropped white shirt,Y,product_topsLength_s(cropped)/sku_colorGroup(white)/sku_colorCodeDesc(white)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),28,$188.00
dark forest align tank,N,sku_colorCodeDesc(dark_forest)/collections(align)/parentCategory_displayName(tank),,27,$129.00
fast and free short 3,N,collections(fast_free)/product_customAttribute4(and_short)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(3_short)/product_inseam(3),EnglishMinimalStemFilter(short)/PatternReplaceFilter(3),21,$403.00
flush pink bottoms,N,sku_colorCodeDesc(flush_pink)/sku_colorGroup(pink)/product_customAttribute4(bottoms),,20,$0.00
full size scuba,N,sku_size(full_size)/collections(scuba),,42,$228.30
pants short,Y,product_customAttribute4(pants_short)/parentCategory_displayName(pants_short)/product_topsLength_s(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(short),85,"$1,020.50"
leggings align 28,Y,parentCategory_displayName(leggings)/collections(align)/sku_size(28)/product_inseam(28),PatternReplaceFilter(28),27,$824.00
lilac smoke pants,N,sku_colorCodeDesc(lilac_smoke)/product_customAttribute4(pants)/parentCategory_displayName(pants),PorterStemFilter(smoke),22,$148.00
long sleeve crop shirt,Y,product_topsLength_s(crop_long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),PorterStemFilter(crop)/EnglishMinimalStemFilter(shirt),34,$382.15
long sleeve sonic pink,N,product_topsLength_s(long)/parentCategory_displayName(long_sleeve)/sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink),,30,$49.00
love the crew,N,collections(love_the)/sku_colorCodeDesc(love)/product_activity(the)/product_customAttribute4(crew),,18,$116.00
lulu lemon align short,N,sku_colorCodeDesc(lemon_lulu_short)/collections(align)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),26,$240.40
lululemon align pant 28,N,collections(align_lululemon)/parentCategory_displayName(lululemon_pant)/sku_colorCodeDesc(lululemon)/product_customAttribute4(pant)/sku_size(28)/product_inseam(28),EnglishMinimalStemFilter(pant)/PatternReplaceFilter(28),35,"$1,187.00"
lululemon pace breaker,N,collections(breaker_lululemon_pace)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon_pace),,28,$204.00
lululemon swiftly tech short sleeve,N,collections(lululemon_swiftly_tech)/parentCategory_displayName(lululemon_short_sleeve)/sku_colorCodeDesc(lululemon_short)/product_topsLength_s(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),21,$68.00
men short 7,Y,gender(men)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/sku_size(7)/product_inseam(7),EnglishMinimalStemFilter(short)/PatternReplaceFilter(7),15,$107.00
31 align,Y,sku_size(31)/product_inseam(31)/collections(align),PatternReplaceFilter(31),41,"$1,176.00"
mint moment scuba,N,sku_colorCodeDesc(mint_moment)/collections(scuba),,23,$227.50
pace breaker 6,N,collections(breaker_pace)/sku_colorCodeDesc(pace)/sku_size(6)/product_inseam(6),PatternReplaceFilter(6),24,$0.00
crew b,N,product_customAttribute4(crew)/sku_size(b),,33,$514.50
poolside blue swiftly,N,sku_colorCodeDesc(blue_poolside)/sku_colorGroup(blue)/collections(swiftly),,26,$54.00
chino pants,Y,product_customAttribute4(chino_pants)/parentCategory_displayName(pants),EnglishMinimalStemFilter(chino),30,$236.80
pistachio short,N,sku_colorCodeDesc(pistachio_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),30,$238.15
train contour,N,collections(train)/product_activity(train)/product_customAttribute4(train)/sku_colorCodeDesc(contour),PorterStemFilter(train),29,$461.00
cropped studio,N,product_topsLength_s(cropped)/collections(studio),,28,$352.00
base 25,Y,product_customAttribute4(base)/collections(base)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),25,$118.00
short bike shorts,Y,product_topsLength_s(short)/parentCategory_displayName(short_shorts)/sku_colorCodeDesc(short)/product_customAttribute4(short_shorts)/product_activity(bike),EnglishMinimalStemFilter(short),22,$48.00
short sleeve shirt men,Y,product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(shirt_short)/gender(men),EnglishMinimalStemFilter(shirt_short),27,$858.00
shorts 3 in,N,product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_colorCodeDesc(3)/product_inseam(3)/collections(in),PatternReplaceFilter(3),21,$98.00
sports dress,N,parentCategory_displayName(dress_sports)/product_customAttribute4(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),24,$0.00
size 12 black leggings,N,sku_size(12_size)/product_inseam(12)/sku_colorGroup(black)/sku_colorCodeDesc(black)/parentCategory_displayName(leggings),PatternReplaceFilter(12),13,$0.00
soft jersey pants,N,collections(jersey_soft)/sku_colorCodeDesc(soft)/product_customAttribute4(pants)/parentCategory_displayName(pants),,84,"$3,425.50"
ebb to street long sleeve shirt,Y,collections(ebb_street_to)/product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),196,"$2,872.70"
capri 17,Y,parentCategory_displayName(capri)/product_inseam(17),EnglishMinimalStemFilter(capri)/PatternReplaceFilter(17),20,$176.00
swiftly tech cheetah print,N,collections(swiftly_tech)/sku_colorCodeDesc(cheetah_print)/sku_colorGroup(print),PorterStemFilter(print),20,$0.00
symphony blue hotty,N,sku_colorCodeDesc(blue_symphony)/sku_colorGroup(blue)/collections(hotty),,18,$0.00
dress women,Y,product_customAttribute4(dress)/parentCategory_displayName(dress_women)/gender(women),EnglishMinimalStemFilter/PorterStemFilter(dress),19,$436.00
under ease bikini,N,collections(ease_under)/product_customAttribute4(bikini),,34,$857.10
warm coral bra,N,sku_colorCodeDesc(coral_warm)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),16,$0.00
we made to much tank,N,parentCategory_displayName(made_much_tank_we)/collections(to),,18,$53.65
we made too much dress,N,parentCategory_displayName(dress_made_much_too_we)/product_customAttribute4(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),22,$483.00
women short pocket,N,gender(women)/parentCategory_displayName(short_women)/product_topsLength_s(short)/sku_colorCodeDesc(pocket_short)/product_customAttribute4(pocket_short),EnglishMinimalStemFilter(short),12,$429.00
camouflage joggers,N,sku_colorGroup_fr(camouflage)/parentCategory_displayName(joggers),,12,$177.00
wunder under train 31,N,collections(train_under_wunder)/product_activity(train)/product_customAttribute4(train)/sku_size(31)/product_inseam(31),PorterStemFilter(train)/PatternReplaceFilter(31),28,$0.00
yoga mat bags,N,product_activity(yoga)/product_customAttribute4(bags_mat_yoga)/parentCategory_displayName(bags_mat_yoga),EnglishMinimalStemFilter(mat),40,$727.60
2xl belt bag,N,sku_size(2xl)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),33,$374.00
9 in shorts,Y,sku_size(9)/product_inseam(9)/collections(in)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),PatternReplaceFilter(9),17,$648.00
align tank cyan,N,collections(align)/parentCategory_displayName(tank)/sku_colorCodeDesc(cyan),,23,$283.00
"base pace 8""",N,"product_customAttribute4(base)/collections(base_pace)/sku_colorCodeDesc(pace)/product_inseam(8"")",,29,$329.30
base pace running tight,Y,product_customAttribute4(base_running)/collections(base_pace_tight)/sku_colorCodeDesc(pace)/product_activity(running)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),9,$59.00
black align leggings 25,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/collections(align)/parentCategory_displayName(leggings)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),45,"$1,048.60"
black and gold belt,N,sku_colorGroup(black)/sku_colorCodeDesc(black_gold)/product_customAttribute4(and_belt),,33,$308.80
black and gold everywhere bag,N,sku_colorGroup(black)/sku_colorCodeDesc(black_gold)/product_customAttribute4(and_bag)/collections(everywhere)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),24,$280.80
blush pink shorts,N,sku_colorCodeDesc(blush_pink)/sku_colorGroup(pink)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,21,$0.00
bra a b,N,parentCategory_displayName(bra)/product_customAttribute4(bra)/collections(a)/sku_size(a_b),EnglishMinimalStemFilter(bra),19,$58.00
classic black leggings,N,sku_colorCodeDesc(black_classic)/sku_colorGroup(black)/parentCategory_displayName(leggings),,15,$265.00
crop tops made too much,N,product_topsLength_s(crop)/parentCategory_displayName(made_much_too_tops)/product_customAttribute4(tops),PorterStemFilter(crop),6,$0.00
dark red pants,N,sku_colorCodeDesc(dark_red)/sku_colorGroup(red)/product_customAttribute4(pants)/parentCategory_displayName(pants),,24,$345.00
define jacket light blue,N,collections(define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket)/sku_colorCodeDesc(blue_light)/sku_colorGroup(blue),EnglishMinimalStemFilter(jacket),34,$354.00
dress shorts men,N,product_customAttribute4(dress_shorts)/parentCategory_displayName(dress_shorts)/gender(men),EnglishMinimalStemFilter/PorterStemFilter(dress),17,$176.00
fast and free top,N,collections(fast_free)/product_customAttribute4(and_top)/parentCategory_displayName(top),EnglishMinimalStemFilter(top),34,$358.00
fast and free women,N,collections(fast_free)/product_customAttribute4(and)/gender(women)/parentCategory_displayName(women),,27,$256.00
hiking shirt men,Y,product_activity(hiking)/product_customAttribute4(shirt)/parentCategory_displayName(shirt)/gender(men),EnglishMinimalStemFilter(shirt),22,$275.00
hot pink belt bags,N,sku_colorCodeDesc(hot_pink)/collections(hot)/sku_colorGroup(pink)/product_customAttribute4(bags_belt)/parentCategory_displayName(bags),,23,$0.00
leggings fast and free,N,parentCategory_displayName(leggings)/collections(fast_free)/product_customAttribute4(and),,19,$256.00
license to train shorts 5,Y,collections(5_license_to_train)/product_activity(train)/product_customAttribute4(5_shorts_train)/parentCategory_displayName(shorts)/sku_size(5)/product_inseam(5),PorterStemFilter(train)/PatternReplaceFilter(5),27,$571.60
lined short 2.5,N,sku_colorCodeDesc(lined_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short)/product_inseam(2.5),EnglishMinimalStemFilter(short)/PatternReplaceFilter(2.5),19,$68.00
lined short 5,N,sku_colorCodeDesc(lined_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(5_short)/collections(5)/sku_size(5)/product_inseam(5),EnglishMinimalStemFilter(short)/PatternReplaceFilter(5),16,$195.00
long sleeve swiftly shirt,Y,product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/collections(swiftly)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),23,$381.00
lulu black leggings,N,sku_colorCodeDesc(black_lulu)/sku_colorGroup(black)/parentCategory_displayName(leggings),,27,$196.00
lulu lemon scuba,N,sku_colorCodeDesc(lemon_lulu)/collections(scuba),,27,$118.00
lululemon align racerback,N,collections(align_lululemon_racerback)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon)/product_customAttribute4(racerback),,28,$194.00
lululemon align short 6,N,collections(align_lululemon)/parentCategory_displayName(lululemon_short)/sku_colorCodeDesc(lululemon_short)/product_topsLength_s(short)/product_customAttribute4(short)/sku_size(6)/product_inseam(6),EnglishMinimalStemFilter(short)/PatternReplaceFilter(6),21,$289.40
lululemon align sports bra,N,collections(align_lululemon)/parentCategory_displayName(bra_lululemon_sports)/sku_colorCodeDesc(lululemon)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),19,$141.00
made too much scuba,N,parentCategory_displayName(made_much_too)/collections(scuba),,25,$69.00
made too much sports bra,N,parentCategory_displayName(bra_made_much_sports_too)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),12,$117.00
made too much swiftly,N,parentCategory_displayName(made_much_too)/collections(swiftly),,26,$205.00
men made too much,N,gender(men)/parentCategory_displayName(made_much_too),,28,$337.90
men no show,N,gender(men)/product_customAttribute4(no_show)/sku_colorCodeDesc(no),,29,$270.00
men short shorts,Y,gender(men)/product_topsLength_s(short)/parentCategory_displayName(short_shorts)/sku_colorCodeDesc(short)/product_customAttribute4(short_shorts),EnglishMinimalStemFilter(short),17,$0.00
tech long,N,collections(tech)/product_topsLength_s(long)/parentCategory_displayName(long),,49,$663.00
neon yellow bra,N,sku_colorGroup(neon_yellow)/sku_colorCodeDesc(yellow)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),21,$196.00
meadowsweet scuba,N,sku_colorCodeDesc(meadowsweet)/collections(scuba),,39,$548.80
olive green belt bag,N,sku_colorGroup_fr(olive)/sku_colorGroup(green_olive)/sku_colorCodeDesc(green_olive)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),30,$183.00
pace lined 5,N,collections(5_pace)/sku_colorCodeDesc(lined_pace)/product_customAttribute4(5)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),25,$0.00
lulu cropped,N,sku_colorCodeDesc(lulu)/product_topsLength_s(cropped),,35,$118.00
ebb s,N,collections(ebb)/sku_size(s),,34,$244.80
poolside bike shorts,N,sku_colorCodeDesc(poolside)/product_activity(bike)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,9,$0.00
powder blue align tank,N,sku_colorCodeDesc(blue_powder)/sku_colorGroup(blue)/collections(align)/parentCategory_displayName(tank),,27,$115.00
sculpt c,N,collections(sculpt)/sku_size(c),,31,$190.30
25 in,N,sku_size(25)/product_inseam(25)/collections(in),PatternReplaceFilter(25),30,$460.60
ready to rulu pants,N,collections(ready_rulu_to)/sku_colorCodeDesc(rulu)/product_customAttribute4(pants)/parentCategory_displayName(pants),,19,$0.00
wallet bag,Y,product_customAttribute4(bag_wallet)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag_wallet),30,$190.00
work joggers,N,product_activity(work)/parentCategory_displayName(joggers),,30,$0.00
bright orange,N,sku_colorCodeDesc(bright_orange)/sku_colorGroup(orange),,29,$0.00
men lined,N,gender(men)/sku_colorCodeDesc(lined),,25,$279.60
peony leggings,N,sku_colorCodeDesc(peony)/parentCategory_displayName(leggings),,24,$187.00
size 12 shorts,N,sku_size(12_size)/product_inseam(12)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),PatternReplaceFilter(12),21,$128.00
camo skirts,N,sku_colorCodeDesc(camo)/parentCategory_displayName(skirts)/product_customAttribute4(skirts),,23,$64.00
java dress,Y,sku_colorCodeDesc(java)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),22,$210.80
speed up bone,N,collections(speed_up)/product_customAttribute4(up)/sku_colorCodeDesc(bone),,28,$68.00
"steady state short 5""",Y,"collections(state_steady)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/product_inseam(5"")",EnglishMinimalStemFilter(short),52,"$1,549.80"
lululemon swiftly tech short sleeve crew,N,collections(lululemon_swiftly_tech)/parentCategory_displayName(lululemon_short_sleeve)/sku_colorCodeDesc(lululemon_short)/product_topsLength_s(short)/product_customAttribute4(crew_short),EnglishMinimalStemFilter(short),19,$360.00
cropped too,N,product_topsLength_s(cropped)/parentCategory_displayName(too),,21,$0.00
sunny coral pants,N,sku_colorCodeDesc(coral_sunny)/product_customAttribute4(pants)/parentCategory_displayName(pants),,17,$237.00
tights pocket,N,parentCategory_displayName(tights)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),,21,$246.00
swiftly tech crop top,N,collections(swiftly_tech)/product_topsLength_s(crop)/parentCategory_displayName(top)/product_customAttribute4(top),PorterStemFilter(crop)/EnglishMinimalStemFilter(top),39,$553.80
swiftly tech kelly green,N,collections(swiftly_tech)/sku_colorCodeDesc(green_kelly)/sku_colorGroup(green),,21,$54.00
swiftly tech long sleeve grey,N,collections(swiftly_tech)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve)/sku_colorGroup(grey)/sku_colorCodeDesc(grey),,33,$156.00
swiftly tie dye,N,collections(swiftly)/sku_colorCodeDesc(dye_tie),,23,$0.00
tank train to be,N,parentCategory_displayName(tank)/collections(be_to_train)/product_activity(train)/product_customAttribute4(train),PorterStemFilter(train),17,$83.00
tie dye short sleeve shirts,N,sku_colorCodeDesc(dye_short_tie)/product_topsLength_s(short)/parentCategory_displayName(shirts_short_sleeve)/product_customAttribute4(short),EnglishMinimalStemFilter(short),23,$0.00
tights size 10,N,parentCategory_displayName(tights)/sku_size(10_size)/product_inseam(10),PatternReplaceFilter(10),2,$0.00
pocket 25,N,product_customAttribute4(pocket)/sku_colorCodeDesc(pocket)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),18,$345.00
java too,N,sku_colorCodeDesc(java)/parentCategory_displayName(too),,17,$0.00
white long sleeve swiftly tech,N,sku_colorGroup(white)/sku_colorCodeDesc(white)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve)/collections(swiftly_tech),,34,$390.00
wild indigo define,N,sku_colorCodeDesc(indigo_wild)/collections(define),,23,$0.00
women coats and jackets,N,gender(women)/parentCategory_displayName(coats_jackets_women)/product_customAttribute4(and_jackets),,10,$0.00
lululemon capris,N,collections(lululemon)/parentCategory_displayName(capris_lululemon)/sku_colorCodeDesc(lululemon),,13,$0.00
"8"" bike short",Y,"product_inseam(8"")/product_activity(bike)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)",EnglishMinimalStemFilter(short),15,$64.00
