Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
pace breaker short 5,Y,collections(5_breaker_pace)/sku_colorCodeDesc(pace_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(5_short)/sku_size(5)/product_inseam(5),EnglishMinimalStemFilter(short)/PatternReplaceFilter(5),4137,"$72,169.75"
commission golf short,Y,collections(commission)/sku_colorCodeDesc(commission_short)/product_activity(golf)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),2959,"$55,340.50"
petrol purple,N,sku_colorCodeDesc(petrol_purple)/sku_colorGroup(purple),,3369,"$20,415.15"
full zip,N,sku_size(full)/product_customAttribute4(zip),,4174,"$47,112.15"
pace breaker lined,N,collections(breaker_pace)/sku_colorCodeDesc(lined_pace),,5496,"$142,001.46"
mini belt bags,N,product_topsLength_s(mini)/sku_colorCodeDesc(mini)/product_customAttribute4(bags_belt)/parentCategory_displayName(bags),,4050,"$39,878.95"
lululemon align,N,collections(align_lululemon)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon),,4381,"$79,412.25"
sport bras,Y,sku_colorCodeDesc(sport)/parentCategory_displayName(bras_sport)/product_customAttribute4(bras),EnglishMinimalStemFilter(sport),2721,"$9,859.55"
bowline short,Y,collections(bowline)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),3113,"$38,772.45"
hotty hot shorts 25,N,collections(hot_hotty)/sku_colorCodeDesc(hot)/product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),3756,"$38,800.35"
align racerback,N,collections(align_racerback)/product_customAttribute4(racerback),,3309,"$19,031.40"
long sleeve swiftly tech,N,product_topsLength_s(long)/parentCategory_displayName(long_sleeve)/collections(swiftly_tech),,4620,"$54,697.25"
align leggings 25,Y,collections(align)/parentCategory_displayName(leggings)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),5284,"$128,200.30"
metal vent tech shirt,Y,collections(metal_tech_vent)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),4098,"$89,023.00"
short sleeve shirt,Y,product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),2910,"$16,365.65"
running shirt,Y,product_activity(running)/product_customAttribute4(running_shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),2527,"$21,014.70"
swift long sleeve,N,collections(swift)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,3638,"$40,378.90"
lululemon align tank,N,collections(align_lululemon)/parentCategory_displayName(lululemon_tank)/sku_colorCodeDesc(lululemon),,3661,"$37,967.30"
poolside leggings,N,sku_colorCodeDesc(poolside)/parentCategory_displayName(leggings),,1870,"$3,463.80"
align too,N,collections(align)/parentCategory_displayName(too),,2359,"$5,083.65"
cross chill,N,product_customAttribute4(cross)/sku_colorCodeDesc(chill_cross),,4540,"$120,462.40"
tennis shirt,Y,product_activity(tennis)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),2535,"$25,432.15"
base pace shorts,N,product_customAttribute4(base_shorts)/collections(base_pace)/sku_colorCodeDesc(pace)/parentCategory_displayName(shorts),,2090,"$6,193.64"
dance studio cropped,N,collections(dance_studio)/product_activity(dance)/product_topsLength_s(cropped),,2793,"$26,986.05"
built in bra,N,collections(built_in)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),2200,"$13,572.70"
swiftly tech racerback tank,N,collections(racerback_swiftly_tech)/product_customAttribute4(racerback)/parentCategory_displayName(tank),,2636,"$31,854.65"
swiftly tech cropped,N,collections(swiftly_tech)/product_topsLength_s(cropped),,6946,"$128,635.45"
surge short,Y,collections(surge)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),3089,"$31,652.00"
hold tight shirt,Y,collections(hold_tight)/parentCategory_displayName(shirt_tight)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt_tight),4738,"$70,693.40"
swiftly tech long,N,collections(swiftly_tech)/product_topsLength_s(long)/parentCategory_displayName(long),,5288,"$120,936.54"
"bowline short 8""",Y,"collections(bowline)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/product_inseam(8"")",EnglishMinimalStemFilter(short),2143,"$29,169.75"
fast and free hat,N,collections(fast_free)/product_customAttribute4(and_hat)/parentCategory_displayName(hat),EnglishMinimalStemFilter(hat),2421,"$15,800.85"
lululemon belt bag,N,collections(lululemon)/parentCategory_displayName(bag_lululemon)/sku_colorCodeDesc(lululemon)/product_customAttribute4(bag_belt),EnglishMinimalStemFilter(bag),2706,"$16,933.90"
speed up high,N,collections(speed_up)/product_customAttribute4(high_up),,2745,"$33,025.10"
wunder train 28,Y,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_size(28)/product_inseam(28),PorterStemFilter(train)/PatternReplaceFilter(28),2810,"$42,537.80"
base pace 25,Y,product_customAttribute4(base)/collections(base_pace)/sku_colorCodeDesc(pace)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),2058,"$13,838.49"
made to much,N,parentCategory_displayName(made_much)/collections(to),,1433,"$4,534.55"
define dress,Y,collections(define)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),2501,"$21,529.30"
align racerback tank,N,collections(align_racerback)/product_customAttribute4(racerback)/parentCategory_displayName(tank),,1946,"$10,013.45"
bra top,N,parentCategory_displayName(bra_top)/product_customAttribute4(bra_top),EnglishMinimalStemFilter(bra_top),1774,"$7,728.35"
cropped joggers,N,product_topsLength_s(cropped)/parentCategory_displayName(joggers),,1704,"$23,146.30"
oversized crew,N,collections(oversized)/product_customAttribute4(crew),,2218,"$23,236.35"
crop jacket,Y,product_topsLength_s(crop)/product_customAttribute4(jacket)/parentCategory_displayName(jacket),PorterStemFilter(crop)/EnglishMinimalStemFilter(jacket),2112,"$28,903.35"
neon yellow,N,sku_colorGroup(neon_yellow)/sku_colorCodeDesc(yellow),,1640,"$7,809.38"
sonic pink scuba,N,sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink)/collections(scuba),,2226,"$15,518.70"
wunder under luxtreme,N,collections(under_wunder)/sku_colorCodeDesc(luxtreme),,1476,"$2,583.75"
kelly green shorts,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,1632,"$8,229.65"
like a cloud dd,N,collections(a_cloud_like)/sku_size(a_dd),,1722,"$10,413.90"
free to be wild bra,N,collections(be_free_to)/sku_colorCodeDesc(wild)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),2419,"$13,774.65"
swiftly tech tank top,N,collections(swiftly_tech)/parentCategory_displayName(tank_top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),1835,"$7,018.60"
commission shirt,Y,collections(commission)/sku_colorCodeDesc(commission)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),2036,"$32,370.55"
cross chill jacket,N,product_customAttribute4(cross_jacket)/sku_colorCodeDesc(chill_cross)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),3977,"$153,797.55"
grey swiftly tech,N,sku_colorGroup(grey)/sku_colorCodeDesc(grey)/collections(swiftly_tech),,1890,"$4,410.90"
love shirt,Y,collections(love)/sku_colorCodeDesc(love)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),2122,"$24,396.40"
drysense shirt,Y,collections(drysense)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),1496,"$14,035.70"
swift tech long sleeve,N,collections(swift_tech)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,2654,"$37,061.37"
